Date,Open,High,Low,Close,Adj Close,Volume
28-02-2007,11160,11400,11160,11400,8758.819336,45093800
01-03-2007,11340,11340,11340,11340,8712.72168,0
05-03-2007,11240,11440,11220,11300,8681.991211,27584250
06-03-2007,11300,11580,11300,11420,8774.186523,27781400
07-03-2007,11500,11520,11300,11400,8758.819336,26039150
08-03-2007,11400,11640,11340,11540,8866.384766,29056100
09-03-2007,11660,11780,11600,11740,9020.050781,30233000
12-03-2007,11800,12040,11800,12040,9250.544922,31691500
13-03-2007,12080,12080,11860,12000,9219.811523,16828000
14-03-2007,11720,11760,11600,11680,8973.949219,24902100
15-03-2007,11700,11840,11680,11720,9004.685547,21261300
16-03-2007,11720,11860,11620,11780,9050.78125,13671150
19-03-2007,11740,11800,11640,11740,9020.050781,11891200
20-03-2007,11700,11740,11500,11580,8897.119141,21245000
21-03-2007,11620,11700,11500,11580,8897.119141,12559600
22-03-2007,11700,11780,11640,11640,8943.217773,22119900
23-03-2007,11680,11720,11520,11600,8912.486328,17271600
26-03-2007,11640,11700,11560,11680,8973.949219,15899800
27-03-2007,11640,11660,11540,11600,8912.486328,18780200
28-03-2007,11600,11600,11400,11440,8789.553711,22607300
29-03-2007,11300,11480,11280,11380,8743.455078,30754300
30-03-2007,11380,11380,11240,11260,8651.255859,22767000
02-04-2007,11280,11420,11280,11320,8697.359375,20035050
03-04-2007,11340,11560,11320,11480,8820.285156,19676650
04-04-2007,11660,11940,11620,11900,9142.979492,44768400
05-04-2007,12020,12060,11820,11860,9112.248047,15772300
06-04-2007,11920,11960,11680,11740,9020.050781,15445750
09-04-2007,11800,11800,11660,11680,8973.949219,12778300
10-04-2007,11680,11780,11520,11560,8881.751953,22281600
11-04-2007,11680,12020,11660,11980,9204.442383,42482950
12-04-2007,11940,12080,11880,12080,9281.275391,34352850
13-04-2007,12080,12200,11900,12040,9250.544922,35876550
16-04-2007,11980,12060,11860,11860,9112.248047,20227200
17-04-2007,11920,11980,11760,11860,9112.248047,22060000
18-04-2007,11800,11820,11620,11660,8958.584961,25200000
19-04-2007,11620,11640,11360,11440,8789.553711,32114150
20-04-2007,11480,11560,11420,11460,8804.919922,16748300
23-04-2007,11560,11680,11400,11400,8758.819336,18575450
24-04-2007,11480,11540,11360,11420,8774.186523,25104600
25-04-2007,11520,11560,11240,11280,8666.62207,29520750
26-04-2007,11400,11620,11400,11600,8912.486328,27133550
27-04-2007,11620,11740,11460,11600,8912.486328,30426400
30-04-2007,11600,11660,11380,11480,8820.285156,18851000
02-05-2007,11400,11600,11400,11500,8835.654297,16500000
03-05-2007,11560,11620,11460,11480,8820.285156,14666550
04-05-2007,11480,11560,11480,11520,8851.017578,12117750
07-05-2007,11600,11740,11560,11740,9020.050781,29269050
